,id,followers,genres,name,popularity
10252,7nrxF1ilcwJNHofGUfsC84,107100,"['indie rock italiano', 'italian alternative', 'italian indie pop']",The Zen Circus,49
10253,7CgMLbkDNX2GegKzzekbXr,8153,"['c-pop', 'cantopop', 'classic cantopop']",Prudence Liew,32
10254,0ynSTc5Z9xojHHyVVHL7DV,231,[],Sharon,29
10255,09RCGJbPIC8CxxKedqRbb6,404,[],The Beat Shakers,55
10256,5ydSdqPJsaPclfHXSpmuB9,109,['classic icelandic pop'],B.G. & Ingibjörg,13
10257,3xQ7Td9gKHIT3J7w7e2CeW,2829,['norwegian pop rap'],Larsiveli,43
10258,1NiC1V6xc8OR1ERiIoCvtx,524490,"['chilean rock', 'nueva ola chilena', 'pop romantico', 'ranchera']",Los Angeles Negros,63
10259,0ORvyq5UHLietaBmysVz51,1357,['estonian pop'],Mari-Leen,26
10260,5X3hmAle6klG0VvstAnvyD,4757,"['classical performance', 'historic orchestral performance', 'orchestral performance']",Sir John Barbirolli,55
10261,32rAgIN6jhUQYhyoKa8agj,80625,['hip hop tuga'],Valete,43
10262,1u48QLv8imchypCIntk3Oq,5,[],Coro Cetra,19
10263,4MJntRCbwBiXt8WWPIecqb,833,[],Günter Kallmann Chor,20
10264,7fRw4ouudxR1jHgyrTIKuY,134508,"['nz christian', 'nz pop', 'polynesian pop']",Stan Walker,58
10265,2L5b3yHGpn7RQi4wd3vcU2,12162,['cumbia chilena'],Combo Ginebra,33
10266,5Uw3hCC51pNjdsD2MOs72K,45784,"['c-pop', 'cantopop']",Shiga Lin,50
10267,1OWxt3WxCvMwyOwfdQ20RK,898,['early modern classical'],Georges Auric,19
10268,1sZGma7HSgUyR96zyw3szd,233,[],Monica Moore Smith,12
10269,235Vf4hkmwvxjVEMuCbRxm,889876,"['argentine rock', 'cuarteto', 'cumbia pop', 'cumbia villera', 'rock en espanol']",Rodrigo,63
10270,130uU1IvmnmLUIOZw6yr3Z,645,[],Serhat Sarpel,16
10271,0iU38Q1bXAoYWLIcybcykn,1165,['fado'],João Ferreira Rosa,18
10272,6JZ1sy3S9KeHrIP8DhQQ4F,5,[],Hameeda Bano,1
10273,1OYsbTuK0KJzQz6fhJkkBk,10100,"['dansband', 'dragspel', 'vintage swedish pop']",Roland Cedermark,38
10274,16UXmC2zY5ECiptfegWxFQ,291114,"['polish pop', 'polish rock']",Perfect,53
10275,2rStLXjKHCQW6oQo2WPOgo,231,[],Saikat Mitra,3
10276,3KW2dc06v616GCmslKkwT7,809,[],Ameen Sayani,18
10277,6Th8IDlRh73qguxuVML4Xl,2637,['lithuanian pop'],Naktinės Personos,27
10278,6yzTAtRHzB5xxcV0z9Debk,117769,"['russian punk', 'russian rock']",Egor Letov,48
10279,774Brtq32Qevtdex1BKTaC,118,[],Miller,15
10280,6nNkKMkPl1qBCEW3Al9eVV,11481,['swamp pop'],Billy Swan,45
10281,1YQ2z1bRRg6FarZc83UFoN,40,[],Dardanelle,23
10282,4uGB0nZ5d1iCXS3sHR3pzm,697933,['turkish pop'],Gökhan Türkmen,61
10283,6gm3ZEpugRTHbtEn3A6Siw,108180,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",Johnny Prez,54
10284,7n1oXHFjDhICKoBTdypinz,51199,['spanish hip hop'],7 Notas 7 Colores,40
10285,7nkLRaWHImCvWGHdNGnhVE,359408,"['album rock', 'art rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'symphonic rock']",Ten Years After,54
10286,0F6yRPhUj9fUzWn0z3ysyr,147292,"['outlaw country', 'roots americana', 'roots rock', 'texas country']",Shooter Jennings,51
10287,1NPnXlXdEfr5ZxhEDsFevM,89099,"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']",Raphaël,54
10288,3f3h06ii1hc3dmFiuLNAQq,35544,"['greek hip hop', 'greek underground rap']",Tzamal,40
10289,5pbdyhkEpMobD6Fs6h729Q,177500,"['classic opm', 'manila sound', 'opm']",Asin,50
10290,5XcGEIxQsIDr4b1pIJjyBd,46,['italian baritone'],Paolo Silveri,8
10291,6WdfiLSbnrKRLINWsG1UCe,135,[],Franz Allers,35
